"","ID","centre","name","staffreduced","staffJDCOVID","staffJDRedeploy","staffGOCOVID","staffGORedeploy","staffConstCOVID","staffConstRedeploy","staffCNSCOVID","staffCNSRedeploy","staffJDred","staffGOred","staffCONred","staffCNSred","MDTchange","MDTvirual","MDTvirualF2F","MDTsuspend","MDTlessfreq","MDTlessattd","redperc","outpatientremote","theatrered","surgcasered","medoncred","clinoncred","radiored","pathred","pallcapred","gonvrred","mdtworkred","movepperlist","moveclinic","moveotheractivity","movenotyet","centralhub","minaccesssurg","newname"
"65",11549922055,"Unit","site-19","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,75,95,0,NA,NA,0,0,0,50,50,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,12
"68",11549870723,"Centre","site-20","Yes",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,25,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"44",11551415506,"Unit","site-21","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,NA,95,90,80,0,0,0,0,0,40,20,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,14
"14",11593687859,"Centre","site-22","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,85,30,NA,NA,NA,40,0,0,40,40,TRUE,TRUE,TRUE,NA,FALSE,TRUE,15
"4",11597445929,"Centre","site-23","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"17",11593421916,"Centre","site-24","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,0,75,0,20,0,0,20,10,0,50,30,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,16
"66",11549909818,"Centre","site-25","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,NA,50,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,30,90,40,50,0,0,0,0,0,75,30,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,17
"1",11619946913,"Centre","site-26","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,10,80,30,40,0,10,30,0,0,70,35,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,18
"6",11596521251,"Centre","site-27","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,66,55,60,50,NA,NA,7,0,0,25,40,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
"10",11593888238,"Centre","site-28","Yes",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,100,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,30,75,60,20,NA,NA,NA,NA,NA,80,50,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19
"63",11549933493,"Centre","site-29","Yes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,25,100,17,NA,"Yes",FALSE,FALSE,FALSE,FALSE,TRUE,75,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"24",11561304662,"Centre","site-30","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,NA,65,60,50,NA,NA,0,0,20,70,40,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,20
"39",11552004136,"Centre","site-31","Yes",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,100,100,0,0,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,60,30,75,90,NA,NA,NA,0,NA,30,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,20
"27",11557247061,"Unit","site-32","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,30,NA,30,80,"Yes",TRUE,TRUE,FALSE,FALSE,FALSE,NA,80,80,80,NA,NA,0,0,NA,80,20,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,21
"33",11555081514,"Centre","site-33","Yes",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,100,100,70,30,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,50,50,50,75,NA,NA,0,0,NA,80,30,TRUE,TRUE,FALSE,NA,FALSE,TRUE,22
"61",11550055745,"Centre","site-34","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,TRUE,10,30,0,0,0,20,0,0,0,50,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25
"25",11560574843,"Centre","site-35","No",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Yes",FALSE,TRUE,FALSE,FALSE,FALSE,50,50,60,59,0,0,50,0,NA,50,50,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,23
"21",11593150235,"Centre","site-36","Yes",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,15,0,50,0,"Yes",TRUE,FALSE,FALSE,FALSE,FALSE,0,95,92,20,90,100,100,100,100,50,80,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,24
